,Date,sleepDuration
0,2024-07-01,7.887777777777777
1,2024-07-02,8.314444444444444
2,2024-07-03,8.044722222222221
3,2024-07-04,8.088055555555556
4,2024-07-05,7.751666666666666
5,2024-07-08,9.629444444444443
6,2024-07-09,9.151944444444444
7,2024-07-10,7.320555555555555
8,2024-07-11,2.166944444444445
9,2024-07-12,7.323611111111111
10,2024-07-15,6.994722222222222
11,2024-07-16,8.819722222222222
12,2024-07-17,8.375555555555556
13,2024-07-18,7.734166666666667
14,2024-07-19,5.163055555555555
15,2024-07-22,8.45722222222222
16,2024-07-23,8.993611111111111
17,2024-07-24,7.806666666666667
18,2024-07-25,7.986666666666667
19,2024-07-26,8.760555555555555
20,2024-07-29,8.482777777777779
21,2024-07-30,8.714166666666667
22,2024-07-31,3.6033333333333335
23,2024-08-01,7.6625
24,2024-08-02,8.102777777777778
25,2024-08-05,7.944444444444445
26,2024-08-06,7.131944444444445
27,2024-08-07,7.136388888888889
28,2024-08-08,7.810555555555556
29,2024-08-09,7.631666666666667
30,2024-08-12,7.955
31,2024-08-13,8.1875
32,2024-08-14,7.921944444444445
33,2024-08-15,8.068333333333333
34,2024-08-16,8.84388888888889
35,2024-08-19,8.207777777777778
36,2024-08-20,7.682777777777778
37,2024-08-21,8.049444444444443
38,2024-08-22,8.155
39,2024-08-23,8.93888888888889
40,2024-08-26,7.469166666666666
41,2024-08-27,2.6083333333333334
42,2024-08-28,7.808888888888888
43,2024-08-29,8.683611111111112
44,2024-08-30,7.826111111111112
45,2024-09-02,8.283888888888889
46,2024-09-03,8.347222222222223
47,2024-09-04,8.259722222222223
48,2024-09-05,8.599166666666667
49,2024-09-06,7.944166666666667
50,2024-09-09,7.985833333333334
51,2024-09-10,7.885277777777779
52,2024-09-11,7.860277777777778
53,2024-09-12,7.5680555555555555
54,2024-09-13,5.949166666666667
55,2024-09-16,7.555555555555556
56,2024-09-17,8.065
57,2024-09-18,6.966388888888889
58,2024-09-19,8.321388888888889
59,2024-09-20,8.705555555555556
60,2024-09-23,8.96
61,2024-09-24,9.52888888888889
62,2024-09-25,8.444166666666666
63,2024-09-26,8.238888888888889
64,2024-09-27,8.279722222222222
65,2024-09-30,6.846111111111112
66,2024-10-01,8.472777777777779
67,2024-10-02,8.352222222222222
68,2024-10-03,3.2372222222222224
69,2024-10-04,4.227222222222222
70,2024-10-07,9.047777777777778
71,2024-10-08,3.2630555555555554
72,2024-10-09,2.521111111111111
73,2024-10-10,6.944999999999999
74,2024-10-11,2.076111111111111
75,2024-10-14,7.097777777777777
76,2024-10-15,7.735833333333333
77,2024-10-16,7.978611111111111
78,2024-10-17,8.56861111111111
79,2024-10-18,3.339722222222222
80,2024-10-21,6.816944444444444
81,2024-10-22,8.185833333333333
82,2024-10-23,7.777222222222222
83,2024-10-24,4.094722222222223
84,2024-10-25,7.289722222222222
85,2024-10-28,7.689444444444444
86,2024-10-29,6.805833333333334
87,2024-10-30,7.3775
88,2024-10-31,5.375555555555556
89,2024-11-01,8.144166666666667
90,2024-11-04,7.9975
91,2024-11-05,4.64638888888889
92,2024-11-06,8.106944444444444
93,2024-11-07,8.726666666666667
94,2024-11-08,7.202222222222222
95,2024-11-11,7.2380555555555555
96,2024-11-12,8.385833333333334
97,2024-11-13,6.428333333333334
98,2024-11-14,6.784722222222222
99,2024-11-15,8.702777777777778
100,2024-11-18,8.250555555555556
101,2024-11-19,8.964444444444444
102,2024-11-20,7.863611111111112
103,2024-11-21,7.381388888888889
